index,latency_ms
1,3.700000
2,4.610000
3,4.650000
4,4.620000
5,5.030000
6,4.610000
7,4.630000
8,4.710000
9,4.670000
10,4.620000
11,4.740000
12,4.630000
13,4.590000
14,5.150000
15,4.580000
16,5.020000
17,4.680000
18,4.830000
19,4.530000
20,4.670000
21,4.760000
22,4.440000
23,4.590000
24,4.960000
25,4.600000
26,4.600000
27,5.390000
28,4.680000
29,4.890000
30,4.590000
31,4.690000
32,4.720000
33,4.900000
34,4.820000
35,4.640000
36,4.670000
37,4.680000
38,4.660000
39,4.530000
40,4.520000
41,4.740000
42,4.580000
43,4.510000
44,4.550000
45,4.520000
46,4.740000
47,4.540000
48,4.440000
49,4.580000
50,4.640000
51,4.530000
52,4.450000
53,4.640000
54,4.550000
55,4.390000
56,4.570000
57,4.540000
58,4.640000
59,6.030000
60,4.750000
61,4.780000
62,4.590000
63,4.680000
64,4.910000
65,4.790000
66,4.630000
67,4.560000
68,4.560000
69,4.940000
70,4.560000
71,4.640000
72,4.610000
73,5.000000
74,5.040000
75,4.760000
76,4.910000
77,4.590000
78,4.570000
79,4.760000
80,4.480000
81,4.950000
82,4.680000
83,4.660000
84,4.610000
85,4.540000
86,4.590000
87,5.450000
88,4.670000
89,4.640000
90,4.600000
91,4.800000
92,4.710000
93,4.590000
94,4.610000
95,4.660000
96,4.510000
97,4.660000
98,4.570000
99,4.430000
100,5.480000
101,4.550000
102,4.710000
103,4.560000
104,4.690000
105,4.540000
106,4.650000
107,5.030000
108,4.890000
109,4.640000
110,4.580000
111,4.510000
112,4.640000
113,4.570000
114,5.590000
115,4.680000
116,4.630000
117,4.580000
118,4.650000
119,4.960000
120,4.510000
121,4.570000
122,4.530000
123,5.340000
124,4.670000
125,4.610000
126,4.620000
127,4.570000
128,5.910000
129,4.480000
130,4.560000
131,4.670000
132,4.780000
133,4.690000
134,4.750000
135,4.730000
136,4.610000
137,4.960000
138,4.700000
139,4.620000
140,4.630000
141,4.580000
142,4.370000
143,4.880000
144,4.610000
145,4.610000
146,5.370000
147,4.640000
148,4.610000
149,4.610000
150,4.750000
151,5.360000
152,4.540000
153,4.640000
154,4.620000
155,4.670000
156,4.160000
157,4.620000
158,4.720000
159,4.640000
160,4.910000
161,4.740000
162,4.690000
163,4.840000
164,4.630000
165,4.730000
166,4.950000
167,4.660000
168,4.720000
169,4.730000
170,5.010000
171,4.800000
172,4.780000
173,4.740000
174,4.790000
175,5.080000
176,4.670000
177,4.790000
178,4.850000
179,4.670000
180,4.780000
181,4.670000
182,4.600000
183,5.730000
184,4.710000
185,4.520000
186,4.470000
187,4.830000
188,4.640000
189,4.630000
190,3.830000
191,3.150000
192,4.900000
193,5.040000
194,5.000000
195,4.620000
196,4.530000
197,4.440000
198,4.520000
199,4.630000
200,4.650000
201,4.690000
202,4.550000
203,4.650000
204,4.550000
205,4.670000
206,4.640000
207,7.460000
208,4.630000
209,5.130000
210,4.650000
211,4.810000
212,4.520000
213,5.150000
214,4.620000
215,4.640000
216,4.640000
217,4.480000
218,4.670000
219,4.690000
220,4.830000
221,4.510000
222,4.550000
223,5.050000
224,4.540000
225,4.890000
226,4.730000
227,4.540000
228,4.580000
229,4.590000
230,4.650000
231,4.470000
232,5.270000
233,4.570000
234,5.290000
235,4.550000
236,4.800000
237,4.610000
238,4.590000
239,4.640000
240,4.870000
241,4.630000
242,4.760000
243,4.580000
244,4.610000
245,4.650000
246,4.930000
247,4.790000
248,5.220000
249,4.550000
250,4.570000
251,4.610000
252,4.150000
253,4.670000
254,6.160000
255,4.920000
256,4.510000
257,5.230000
258,4.560000
259,5.030000
260,4.730000
261,4.720000
262,4.720000
263,4.690000
264,4.810000
265,4.690000
266,4.600000
267,4.900000
268,4.650000
269,4.360000
270,4.650000
271,4.730000
272,4.640000
273,4.530000
274,4.500000
275,5.050000
276,4.560000
277,4.680000
278,4.620000
279,4.870000
280,4.590000
281,4.650000
282,4.550000
283,4.930000
284,4.600000
285,4.510000
286,4.650000
287,4.680000
288,4.550000
289,4.680000
290,4.540000
291,4.650000
292,4.660000
293,5.210000
294,4.660000
295,5.230000
296,4.700000
297,4.610000
298,4.630000
299,4.700000
300,5.000000
301,4.450000
302,4.570000
303,5.030000
304,4.660000
305,4.940000
306,4.570000
307,4.450000
308,5.010000
309,4.580000
310,4.660000
311,4.600000
312,4.530000
313,4.770000
314,8.700000
315,4.630000
316,5.360000
317,4.620000
318,6.200000
319,4.620000
320,4.540000
321,4.680000
322,4.630000
323,4.570000
324,4.590000
325,4.630000
326,4.840000
327,4.600000
328,4.640000
329,4.540000
330,4.470000
331,4.570000
332,4.550000
333,6.860000
334,4.540000
335,4.540000
336,4.570000
337,4.500000
338,4.800000
339,4.580000
340,4.570000
341,4.590000
342,4.560000
343,5.020000
344,4.620000
345,4.490000
346,4.730000
347,4.600000
348,4.240000
349,4.650000
350,5.170000
351,5.630000
352,4.590000
353,4.590000
354,4.600000
355,4.560000
356,4.500000
357,4.690000
358,4.530000
359,4.550000
360,4.620000
361,4.450000
362,5.680000
363,5.420000
364,4.990000
365,4.740000
366,4.560000
367,4.540000
368,4.570000
369,4.610000
370,4.580000
371,5.150000
372,4.750000
373,4.560000
374,4.450000
375,4.590000
376,4.490000
377,4.680000
378,4.730000
379,4.700000
380,4.660000
381,4.630000
382,4.620000
383,4.570000
384,4.530000
385,5.330000
386,4.590000
387,4.540000
388,4.880000
389,4.600000
390,4.800000
391,4.590000
392,4.580000
393,4.590000
394,4.590000
395,4.890000
396,4.500000
397,4.890000
398,4.660000
399,4.580000
400,4.620000
401,4.530000
402,4.550000
403,5.080000
404,4.830000
405,4.670000
406,5.930000
407,4.770000
408,4.750000
409,4.770000
410,5.260000
411,4.790000
412,5.180000
413,6.620000
414,4.550000
415,4.850000
416,4.830000
417,4.880000
418,4.860000
419,4.600000
420,4.540000
421,4.570000
422,4.660000
423,4.640000
424,4.690000
425,4.730000
426,4.780000
427,4.570000
428,3.210000
429,4.620000
430,4.610000
431,5.170000
432,4.580000
433,4.620000
434,5.740000
435,4.640000
436,4.610000
437,4.520000
438,4.560000
439,4.440000
440,4.930000
441,4.670000
442,4.700000
443,4.630000
444,4.640000
445,5.290000
446,4.600000
447,4.720000
448,4.630000
449,4.640000
450,4.710000
451,4.470000
452,4.520000
453,4.630000
454,4.900000
455,4.980000
456,4.480000
457,4.670000
458,4.630000
459,4.930000
460,4.670000
461,4.890000
462,4.500000
463,4.590000
464,4.710000
465,4.660000
466,4.620000
467,4.660000
468,4.620000
469,5.060000
470,4.660000
471,4.820000
472,4.770000
473,4.740000
474,4.770000
475,4.730000
476,4.740000
477,4.690000
478,4.570000
479,4.860000
480,5.080000
481,5.030000
482,4.710000
483,5.010000
484,4.610000
485,4.500000
486,4.590000
487,4.610000
488,5.010000
489,4.610000
490,4.620000
491,4.500000
492,4.660000
493,4.630000
494,4.690000
495,4.660000
496,4.640000
497,4.650000
498,5.220000
499,4.550000
500,4.620000
501,4.590000
502,4.690000
503,4.570000
504,4.560000
505,4.670000
506,4.560000
507,4.560000
508,5.500000
509,4.680000
510,4.610000
511,4.580000
512,4.650000
513,4.470000
514,5.350000
515,4.560000
516,4.510000
517,4.570000
518,5.680000
519,4.590000
520,5.220000
521,4.470000
522,4.520000
523,4.550000
524,4.460000
525,4.880000
526,4.550000
527,4.670000
528,4.570000
529,4.620000
530,4.580000
531,4.520000
532,4.550000
533,4.510000
534,4.780000
535,5.040000
536,4.510000
537,4.590000
538,4.530000
539,4.640000
540,4.670000
541,5.100000
542,4.440000
543,4.760000
544,4.490000
545,4.860000
546,4.550000
547,4.490000
548,4.560000
549,4.500000
550,4.650000
551,4.570000
552,4.680000
553,5.020000
554,4.620000
555,4.550000
556,4.510000
557,5.530000
558,5.510000
559,4.670000
560,4.650000
561,4.650000
562,4.670000
563,4.640000
564,4.480000
565,4.650000
566,4.570000
567,4.540000
568,4.420000
569,4.550000
570,4.720000
571,4.570000
572,4.660000
573,4.520000
574,4.410000
575,4.470000
576,4.470000
577,4.470000
578,4.580000
579,5.100000
580,4.740000
581,4.640000
582,4.520000
583,4.720000
584,4.640000
585,4.660000
586,4.710000
587,4.710000
588,4.660000
589,4.530000
590,4.620000
591,4.670000
592,4.550000
593,4.700000
594,4.570000
595,4.690000
596,4.580000
597,4.660000
598,5.270000
599,4.520000
600,4.570000
601,4.630000
602,4.580000
603,5.080000
604,4.600000
605,4.570000
606,4.510000
607,4.600000
608,4.550000
609,5.080000
610,5.380000
611,5.270000
612,4.570000
613,4.670000
614,4.640000
615,4.580000
616,4.850000
617,4.840000
618,5.670000
619,4.630000
620,4.550000
621,4.720000
622,4.600000
623,4.950000
624,5.980000
625,4.680000
626,4.540000
627,4.550000
628,4.650000
629,4.880000
630,4.900000
631,5.530000
632,4.610000
633,4.670000
634,4.560000
635,5.460000
636,4.700000
637,4.540000
638,5.220000
