request#,latency_ms,success
1,3.70,yes
2,4.61,yes
3,4.65,yes
4,4.62,yes
5,5.03,yes
6,4.61,yes
7,4.63,yes
8,4.71,yes
9,4.67,yes
10,4.62,yes
11,4.74,yes
12,4.63,yes
13,4.59,yes
14,5.15,yes
15,4.58,yes
16,5.02,yes
17,4.68,yes
18,4.83,yes
19,4.53,yes
20,4.67,yes
21,4.76,yes
22,4.44,yes
23,4.59,yes
24,4.96,yes
25,4.60,yes
26,4.60,yes
27,5.39,yes
28,4.68,yes
29,4.89,yes
30,4.59,yes
31,4.69,yes
32,4.72,yes
33,4.90,yes
34,4.82,yes
35,4.64,yes
36,4.67,yes
37,4.68,yes
38,4.66,yes
39,4.53,yes
40,4.52,yes
41,4.74,yes
42,4.58,yes
43,4.51,yes
44,4.55,yes
45,4.52,yes
46,4.74,yes
47,4.54,yes
48,4.44,yes
49,4.58,yes
50,4.64,yes
51,4.53,yes
52,4.45,yes
53,4.64,yes
54,4.55,yes
55,4.39,yes
56,4.57,yes
57,4.54,yes
58,4.64,yes
59,6.03,yes
60,4.75,yes
61,4.78,yes
62,4.59,yes
63,4.68,yes
64,4.91,yes
65,4.79,yes
66,4.63,yes
67,4.56,yes
68,4.56,yes
69,4.94,yes
70,4.56,yes
71,4.64,yes
72,4.61,yes
73,5.00,yes
74,5.04,yes
75,4.76,yes
76,4.91,yes
77,4.59,yes
78,4.57,yes
79,4.76,yes
80,4.48,yes
81,4.95,yes
82,4.68,yes
83,4.66,yes
84,4.61,yes
85,4.54,yes
86,4.59,yes
87,5.45,yes
88,4.67,yes
89,4.64,yes
90,4.60,yes
91,4.80,yes
92,4.71,yes
93,4.59,yes
94,4.61,yes
95,4.66,yes
96,4.51,yes
97,4.66,yes
98,4.57,yes
99,4.43,yes
100,5.48,yes
101,4.55,yes
102,4.71,yes
103,4.56,yes
104,4.69,yes
105,4.54,yes
106,4.65,yes
107,5.03,yes
108,4.89,yes
109,4.64,yes
110,4.58,yes
111,4.51,yes
112,4.64,yes
113,4.57,yes
114,5.59,yes
115,4.68,yes
116,4.63,yes
117,4.58,yes
118,4.65,yes
119,4.96,yes
120,4.51,yes
121,4.57,yes
122,4.53,yes
123,5.34,yes
124,4.67,yes
125,4.61,yes
126,4.62,yes
127,4.57,yes
128,5.91,yes
129,4.48,yes
130,4.56,yes
131,4.67,yes
132,4.78,yes
133,4.69,yes
134,4.75,yes
135,4.73,yes
